1549	NC_000932	3702	Arabidopsis thaliana	Arabidopsis	3701	genus	Arabidopsis thaliana;Arabidopsis suecica
910	NC_001320	39947	Oryza sativa Japonica Group	Oryza	4527	genus	Oryza sativa Japonica Group;Oryza sativa f. spontanea;Oryza sativa Indica Group;Oryza meridionalis;Oryza rufipogon;Oryza glaberrima;Oryza australiensis;Oryza barthii;Oryza glumipatula;Oryza longistaminata;Oryza officinalis;Oryza punctata;Oryza minuta;Oryza sativa;Oryza rhizomatis;Oryza eichingeri;Oryza alta;Oryza grandiglumis;Oryza latifolia;Oryza longiglumis;Oryza ridleyi;Oryza meyeriana;Oryza coarctata;Oryza neocaledonica;Oryza schlechteri;Oryza malampuzhaensis
2121	NC_001631	3350	Pinus thunbergii	Pinus subgen. Pinus	139271	subgenus	Pinus thunbergii;Pinus taiwanensis;Pinus tabuliformis;Pinus yunnanensis;Pinus tabuliformis var. henryi
2444	NC_001666	4577	Zea mays	Poaceae	4479	family	Zea mays;Zea perennis;Zea luxurians;Zea diploperennis;Schizachyrium imberbe;Tripsacum dactyloides;Andropogon gerardi;Schizachyrium cirratum;Tripsacum laxum;Tripsacinae sp. MTP;Schizachyrium yangambiense;Anatherum pringlei
1668	NC_001879	4097	Nicotiana tabacum	Nicotiana	4085	genus	Nicotiana tabacum;Nicotiana sylvestris;Nicotiana amplexicaulis;Nicotiana debneyi;Nicotiana suaveolens;Nicotiana glauca;Nicotiana stocktonii;Nicotiana repanda
1475	NC_002693	85636	Oenothera elata subsp. hookeri	Oenothera	3939	genus	Oenothera elata subsp. hookeri;Oenothera argillicola;Oenothera glazioviana;Oenothera biennis;Oenothera grandiflora;Oenothera villaricae;Oenothera curtiflora;Oenothera lindheimeri;Oenothera elata subsp. elata;Oenothera villosa subsp. strigosa;Oenothera villosa subsp. villosa;Oenothera biennis x Oenothera glazioviana;Oenothera biennis x Oenothera villosa;Oenothera wolfii;Oenothera speciosa;Oenothera drummondii
519	NC_002694	34305	Lotus japonicus	Lotus japonicus	34305	species	Lotus japonicus
377	NC_002762	4565	Triticum aestivum	Triticeae	147389	tribe	Triticum aestivum;Aegilops tauschii;Aegilops speltoides;Triticum timopheevii;Triticum turgidum;Triticum macha;Taeniatherum caput-medusae;Aegilops umbellulata;Triticum zhukovskyi
2612	NC_003119	3880	Medicago truncatula	Medicago	3877	genus	Medicago truncatula;Medicago hybrida;Medicago papillosa;Medicago biflora;Medicago sativa subsp. sativa;Medicago cretacea;Medicago suffruticosa;Medicago tetraprostrata;Medicago marina;Medicago pironae;Medicago polymorpha;Medicago orbicularis;Medicago intertexta;Medicago arborea;Medicago praecox;Medicago arabica;Medicago x varia;Medicago turbinata;Medicago murex;Medicago rugosa;Medicago granadensis;Medicago constricta;Medicago littoralis;Medicago scutellata;Medicago italica;Medicago lesinsii;Medicago heyniana;Medicago soleirolii;Medicago rigiduloides;Medicago doliata;Medicago ciliaris
1694	NC_004561	33113	Atropa belladonna	Solanaceae	4070	family	Atropa belladonna;Nicotiana tomentosiformis;Nicotiana undulata;Capsicum lycianthoides;Iochroma nitidum;Physalis peruviana;Iochroma stenanthum;Saracha punctata;Iochroma loxense;Dunalia brachyacantha;Saracha nigribaccata;Iochroma tingoanum;Trompettia cardenasiana;Eriolarynx australis;Iochroma umbellatum;Acnistus arborescens x Iochroma cyaneum;Iochroma lehmannii;Iochroma salpoanum;Eriolarynx fasciculata;Iochroma ellipticum;Iochroma cyaneum;Iochroma arborescens;Scopolia parviflora;Nicotiana otophora;Nicotiana attenuata;Physalis angulata;Physalis pruinosa;Lycium barbarum;Lycium chinense;Physalis pubescens;Physalis minima;Jaltomata bicolor;Jaltomata sinuosa;Scopolia carniolica;Anisodus acutangulus;Lycium dasystemum;Withania frutescens;Physalis philadelphica;Physalis cordata;Lycium barbarum var. implicatum;Physalis ixocarpa;Lycium truncatum;Lycium yunnanense;Lycium ningxiaense;Lycium amarum;Lycium cylindricum
2105	NC_004677	88728	Pinus koraiensis	Pinus subgen. Strobus	139272	subgenus	Pinus koraiensis;Pinus strobus;Pinus bungeana;Pinus sibirica;Pinus armandii;Pinus wangii;Pinus squamata;Pinus parviflora;Pinus morrisonicola;Pinus aristata;Pinus pumila
2635	NC_004993	212734	Calycanthus floridus var. glaucus	Calycanthus	3428	genus	Calycanthus floridus var. glaucus;Calycanthus chinensis x Calycanthus floridus
2456	NC_005878	193079	Saccharum hybrid cultivar SP80-3280	Andropogoneae	147429	tribe	Saccharum hybrid cultivar SP80-3280;Saccharum hybrid cultivar NCo 310;Sorghum bicolor;Coix lacryma-jobi;Sorghum timorense;Miscanthus sacchariflorus;Miscanthus sinensis;Saccharum hybrid cultivar;Eriochrysis cf. cayennensis 365-2;Eriochrysis laxa;Imperata cylindrica;Sorghastrum nutans;Iseilema macratherum;Arthraxon prionodes;Rottboellia cochinchinensis;Bothriochloa alta;Capillipedium venustum;Saccharum spontaneum;Kerriochloa siamensis;Themeda arundinacea;Themeda triandra;Arthraxon lanceolatus;Themeda arguens;Dimeria ornithopoda;Themeda villosa;Sorghum mekongense;Eremochloa eriopoda;Pseudosorghum fasciculare;Chrysopogon gryllus;Andropogon burmanicus;Schizachyrium spicatum;Arthraxon hispidus;Eulaliopsis binata;Arthraxon microphyllus;Saccharum officinarum;Themeda quadrivalvis;Miscanthus floridulus;Miscanthidium junceum;Miscanthus x giganteus;Lasiorhachis hildebrandtii;Apluda mutica;Eremochloa ophiuroides;Bothriochloa decipiens;Eriochrysis pallida;Sorghum propinquum;Sorghum x drummondii;Agenium leptocladum;Agenium villosum;Cymbopogon pospischilii;Eremopogon foveolatus;Eremopogon tuberculatus;Heteropogon melanocarpus;Heteropogon ritchiei;Iseilema anthephoroides;Iseilema hubbardii;Iseilema laxum;Iseilema membranaceum;Iseilema prostratum;Iseilema vaginiflorum;Pseudanthistiria umbellata;Themeda anathera;Themeda cymbaria;Themeda strigosa;Themeda tremula;Spodiopogon sagittifolius;Themeda avenacea;Saccharum narenga;Themeda japonica;Saccharum barberi;Saccharum sinense;Sorghum bicolor x Sorghum x drummondii;Sorghum halepense;Schizachyrium malacostachyum
910	NC_005973	2998809	Oryza sativa f. spontanea	Oryza	4527	genus	Oryza sativa Japonica Group;Oryza sativa f. spontanea;Oryza sativa Indica Group;Oryza meridionalis;Oryza rufipogon;Oryza glaberrima;Oryza australiensis;Oryza barthii;Oryza glumipatula;Oryza longistaminata;Oryza officinalis;Oryza punctata;Oryza minuta;Oryza sativa;Oryza rhizomatis;Oryza eichingeri;Oryza alta;Oryza grandiglumis;Oryza latifolia;Oryza longiglumis;Oryza ridleyi;Oryza meyeriana;Oryza coarctata;Oryza neocaledonica;Oryza schlechteri;Oryza malampuzhaensis
2456	NC_006084	717233	Saccharum hybrid cultivar NCo 310	Andropogoneae	147429	tribe	Saccharum hybrid cultivar SP80-3280;Saccharum hybrid cultivar NCo 310;Sorghum bicolor;Coix lacryma-jobi;Sorghum timorense;Miscanthus sacchariflorus;Miscanthus sinensis;Saccharum hybrid cultivar;Eriochrysis cf. cayennensis 365-2;Eriochrysis laxa;Imperata cylindrica;Sorghastrum nutans;Iseilema macratherum;Arthraxon prionodes;Rottboellia cochinchinensis;Bothriochloa alta;Capillipedium venustum;Saccharum spontaneum;Kerriochloa siamensis;Themeda arundinacea;Themeda triandra;Arthraxon lanceolatus;Themeda arguens;Dimeria ornithopoda;Themeda villosa;Sorghum mekongense;Eremochloa eriopoda;Pseudosorghum fasciculare;Chrysopogon gryllus;Andropogon burmanicus;Schizachyrium spicatum;Arthraxon hispidus;Eulaliopsis binata;Arthraxon microphyllus;Saccharum officinarum;Themeda quadrivalvis;Miscanthus floridulus;Miscanthidium junceum;Miscanthus x giganteus;Lasiorhachis hildebrandtii;Apluda mutica;Eremochloa ophiuroides;Bothriochloa decipiens;Eriochrysis pallida;Sorghum propinquum;Sorghum x drummondii;Agenium leptocladum;Agenium villosum;Cymbopogon pospischilii;Eremopogon foveolatus;Eremopogon tuberculatus;Heteropogon melanocarpus;Heteropogon ritchiei;Iseilema anthephoroides;Iseilema hubbardii;Iseilema laxum;Iseilema membranaceum;Iseilema prostratum;Iseilema vaginiflorum;Pseudanthistiria umbellata;Themeda anathera;Themeda cymbaria;Themeda strigosa;Themeda tremula;Spodiopogon sagittifolius;Themeda avenacea;Saccharum narenga;Themeda japonica;Saccharum barberi;Saccharum sinense;Sorghum bicolor x Sorghum x drummondii;Sorghum halepense;Schizachyrium malacostachyum
1750	NC_006290	4054	Panax ginseng	Araliaceae	4050	family	Panax ginseng;Aralia undulata;Brassaiopsis hainla;Metapanax delavayi;Panax notoginseng;Panax quinquefolius;Panax japonicus;Panax vietnamensis;Panax stipuleanatus;Panax trifolius;Panax japonicus var. bipinnatifidus;Panax wangianus;Panax zingiberensis;Cheirodendron bastardianum;Panax major;Aralia atropurpurea;Panax pseudoginseng var. elegantior;Aralia elata;Polyscias fruticosa
