0	KF694808	94328	Zingiber officinale	Zingiber officinale	94328	species	Zingiber officinale
1	MH813137	371650	Albizia lebbeck	Albizia lebbeck	371650	species	Albizia lebbeck
1	MH813137	371650	Albizia lebbeck	Albizia lebbeck	371650	species	Albizia lebbeck
2	MH813133	4058	Catharanthus roseus	Catharanthus roseus	4058	species	Catharanthus roseus
3	MH813132	4058	Catharanthus roseus	Catharanthus roseus	4058	species	Catharanthus roseus
4	MH813130	91225	Pterocarya stenoptera	Pterocarya stenoptera	91225	species	Pterocarya stenoptera
5	MH813192	190244	Helicteres angustifolia	Helicteres angustifolia	190244	species	Helicteres angustifolia
6	MH813125	123498	Aleurites moluccanus	Aleurites moluccanus	123498	species	Aleurites moluccanus
6	MH813127	123498	Aleurites moluccanus	Aleurites moluccanus	123498	species	Aleurites moluccanus
7	MH813208	4097	Nicotiana tabacum	Nicotiana tabacum	4097	species	Nicotiana tabacum
8	MH813031	63479	Nerium oleander	Nerium oleander	63479	species	Nerium oleander
9	MH813034	168497	Buddleja lindleyana	Buddleja lindleyana	168497	species	Buddleja lindleyana
10	MH813139	212310	Euphorbia tithymaloides	Euphorbia tithymaloides	212310	species	Euphorbia tithymaloides
11	MH813183	3527	Phytolacca americana	Phytolacca americana	3527	species	Phytolacca americana
12	MH813029	269722	Toxicodendron sylvestre	Toxicodendron sylvestre	269722	species	Toxicodendron sylvestre
13	MH813148	334664	Euphorbia antiquorum	Euphorbia antiquorum	334664	species	Euphorbia antiquorum
13	MH813150	334664	Euphorbia antiquorum	Euphorbia antiquorum	334664	species	Euphorbia antiquorum
14	MH813124	568080	Erythrophleum fordii	Erythrophleum fordii	568080	species	Erythrophleum fordii
15	MH813116	427660	Gelsemium elegans	Gelsemium elegans	427660	species	Gelsemium elegans
