0	NC_000932	3702
1	NC_001879	4097
2	NC_002202	3562
3	NC_002693	85636
1	NC_004561	33113
4	NC_007144	3659
5	NC_007407	4465
1	NC_007500	4096
1	NC_007602	4098
1	NC_007898	4081
1	NC_007943	147425
6	NC_007957	29760
1	NC_008096	4113
7	NC_008115	71271
8	NC_008325	4039
9	NC_008326	3415
10	NC_008335	4403
11	NC_008336	41776
12	NC_008359	248361
13	NC_008407	126431
14	NC_008796	334596
15	NC_009143	3694
0	NC_009265	434059
0	NC_009266	72657
0	NC_009267	74718
0	NC_009268	78191
0	NC_009269	50458
0	NC_009270	3719
0	NC_009271	78192
0	NC_009272	171822
0	NC_009273	59292
0	NC_009274	226051
0	NC_009275	65948
16	NC_009598	13006
17	NC_009766	4129
18	NC_009808	4121
17	NC_009963	476139
5	NC_010093	263995
19	NC_010109	4472
20	NC_010323	3649
3	NC_010358	3940
3	NC_010360	482428
3	NC_010361	3942
3	NC_010362	482429
21	NC_010433	3983
22	NC_010442	28494
21	NC_012224	180498
23	NC_012615	93213
13	NC_013707	4146
24	NC_013823	4733
25	NC_013991	42345
26	NC_014569	28960
7	NC_014570	71139
27	NC_014676	3641
28	NC_014697	3760
29	NC_014807	4312
26	NC_015083	337360
8	NC_015113	40888
30	NC_015139	51351
31	NC_015206	101020
21	NC_015308	3981
13	NC_015401	158383
13	NC_015604	129566
10	NC_015605	4431
13	NC_015608	497767
13	NC_015623	158385
8	NC_015804	40916
32	NC_015818	46379
19	NC_015891	29656
33	NC_015894	161126
33	NC_015899	161112
4	NC_015983	412675
28	NC_015996	3767
1	NC_016068	118713
32	NC_016430	82096
34	NC_016433	4182
35	NC_016727	42043
35	NC_016728	39899
35	NC_016729	39875
35	NC_016730	37657
30	NC_016734	3708
36	NC_016736	3988
37	NC_016753	4460
28	NC_016921	519533
25	NC_017602	51953
1	NC_018117	4076
38	NC_018541	100364
0	NC_018565	414717
31	NC_018766	157670
31	NC_019601	101007
31	NC_019602	101015
39	NC_020019	4442
34	NC_020098	41396
40	NC_020362	1276543
25	NC_020364	131289
25	NC_020365	244023
25	NC_020366	292647
41	NC_020431	226208
42	NC_021101	23250
0	NC_021102	106773
43	NC_021121	1265925
44	NC_021423	4058
45	NC_021425	13715
45	NC_021426	4407
46	NC_021455	1308043
47	NC_021936	29650
39	NC_022264	182317
7	NC_022378	36592
7	NC_022379	87679
7	NC_022380	87669
7	NC_022381	582381
7	NC_022382	1171781
7	NC_022383	87670
7	NC_022384	87684
7	NC_022385	87672
7	NC_022386	87681
7	NC_022387	87688
7	NC_022388	34320
7	NC_022389	582372
7	NC_022390	183836
7	NC_022391	34319
7	NC_022392	183838
7	NC_022393	1282669
7	NC_022394	452569
7	NC_022395	87674
7	NC_022396	87663
7	NC_022397	99019
7	NC_022398	34316
7	NC_022399	106642
7	NC_022400	87685
7	NC_022401	183858
7	NC_022402	166933
7	NC_022403	183851
7	NC_022404	34315
7	NC_022405	183827
7	NC_022406	34314
7	NC_022407	183803
7	NC_022408	87660
7	NC_022409	34328
7	NC_022410	34330
7	NC_022411	34308
7	NC_022412	87657
7	NC_022413	34307
7	NC_022414	88056
25	NC_022417	13894
48	NC_022431	528293
48	NC_022432	48545
49	NC_022451	175694
11	NC_022457	13601
39	NC_022459	319925
39	NC_022460	1339356
39	NC_022461	147918
39	NC_022462	319928
39	NC_022463	194713
50	NC_022715	1049916
51	NC_022810	137943
51	NC_022811	133939
51	NC_022812	133946
51	NC_022813	230597
51	NC_022814	228393
34	NC_022859	86093
40	NC_022926	228183
40	NC_022927	4664
39	NC_023084	385388
52	NC_023086	49684
53	NC_023090	3873
54	NC_023092	63359
41	NC_023102	38596
55	NC_023115	86091
28	NC_023130	1143245
56	NC_023247	152093
42	NC_023256	377280
57	NC_023259	28971
58	NC_023260	253189
59	NC_023261	73178
60	NC_023356	120072
61	NC_023357	39848
35	NC_023358	490730
35	NC_023360	129946
0	NC_023367	50452
62	NC_023463	192264
4	NC_023544	396994
6	NC_023790	103349
28	NC_023798	102107
28	NC_023956	329890
63	NC_024060	1125932
63	NC_024061	22978
63	NC_024062	123495
63	NC_024063	597284
63	NC_024064	597311
63	NC_024065	1186155
63	NC_024066	715485
63	NC_024067	1186172
64	NC_024170	55577
31	NC_024258	64939
1	NC_024261	4079
44	NC_024292	396313
30	NC_024469	3726
39	NC_024541	542719
65	NC_024543	166117
66	NC_024560	55185
39	NC_024659	1454364
39	NC_024660	542733
39	NC_024661	153490
39	NC_024662	1523625
39	NC_024663	452972
56	NC_024728	108544
15	NC_024735	73824
56	NC_024736	152089
67	NC_025288	60698
68	NC_025306	198697
69	NC_025333	59097
10	NC_025339	4432
70	NC_025651	271221
48	NC_025655	144545
44	NC_025656	63479
48	NC_025657	351450
44	NC_025658	141598
12	NC_025772	229049
13	NC_025787	126429
26	NC_025906	337368
71	NC_026103	1264566
72	NC_026134	138025
43	NC_026197	1454370
73	NC_026202	692148
74	NC_026291	54469
5	NC_026299	55184
25	NC_026444	145710
0	NC_026445	82286
0	NC_026446	352370
51	NC_026447	44586
51	NC_026546	242290
1	NC_026551	362342
75	NC_026562	3483
16	NC_026565	146543
1	NC_026567	362364
1	NC_026570	126903
1	NC_026574	362373
72	NC_026677	321550
72	NC_026678	20340
72	NC_026679	191923
53	NC_026681	3870
72	NC_026683	102697
72	NC_026685	58860
1	NC_026694	126905
18	NC_026703	4120
1	NC_026726	362363
60	NC_026786	108411
56	NC_026787	4692
76	NC_026839	105884
1	NC_026876	142759
1	NC_026877	4083
1	NC_026878	315350
1	NC_026879	62890
1	NC_026880	62891
1	NC_026881	4082
1	NC_026882	4084
1	NC_026906	362345
28	NC_026980	3759
28	NC_026981	97306
28	NC_026982	97307
77	NC_026986	316492
64	NC_027090	325984
1	NC_027099	362347
12	NC_027110	981085
78	NC_027158	86979
79	NC_027159	229473
1	NC_027177	1545468
66	NC_027185	82479
80	NC_027224	179119
80	NC_027225	206448
80	NC_027226	46105
81	NC_027250	418180
41	NC_027259	39367
41	NC_027262	65409
37	NC_027272	42196
25	NC_027276	101629
66	NC_027282	82481
82	NC_027441	50768
82	NC_027442	308434
8	NC_027450	376870
8	NC_027451	40952
51	NC_027607	98373
80	NC_027668	151230
80	NC_027669	151231
56	NC_027674	82318
56	NC_027675	82331
56	NC_027679	1577587
51	NC_027685	46397
0	NC_027693	81985
83	NC_027732	93608
66	NC_027738	82490
66	NC_027739	82502
7	NC_027744	119951
84	NC_027829	1266557
8	NC_027834	46367
85	NC_027838	374711
86	NC_027954	78380
87	NC_027955	353963
84	NC_027959	1522199
88	NC_027960	350585
89	NC_028000	231663
90	NC_028009	266091
84	NC_028012	3972
25	NC_028026	1089946
75	NC_028032	3486
59	NC_028051	73194
59	NC_028052	28968
59	NC_028053	59866
1	NC_028069	4109
1	NC_028070	4112
35	NC_028080	552857
0	NC_028170	72664
30	NC_028272	3707
7	NC_028409	183804
7	NC_028410	360304
0	NC_028415	161756
91	NC_028429	195526
40	NC_028439	52838
0	NC_028517	264402
92	NC_028519	197809
93	NC_028520	101992
91	NC_028523	261426
41	NC_028533	1750592
27	NC_028588	1522114
27	NC_028589	210368
27	NC_028590	1522119
27	NC_028591	197130
44	NC_028614	1756979
8	NC_028618	182415
51	NC_028703	44685
51	NC_028704	106132
0	NC_028726	98039
0	NC_028727	347893
0	NC_028728	347889
72	NC_028732	486065
72	NC_028733	190760
3	NC_029211	49455
3	NC_029212	482602
94	NC_029214	1112727
25	NC_029241	682621
95	NC_029243	210372
0	NC_029332	1672020
0	NC_029334	38785
0	NC_029335	97979
0	NC_029336	412662
0	NC_029337	90675
6	NC_029339	1006121
41	NC_029370	39329
0	NC_029378	98038
0	NC_029379	537134
8	NC_029391	55605
8	NC_029392	48101
8	NC_029393	85712
8	NC_029394	110318
96	NC_029429	106141
97	NC_029431	929407
98	NC_029432	461633
99	NC_029433	74825
100	NC_029434	3469
6	NC_029454	3605
48	NC_029459	228709
48	NC_029460	157409
